Date;Open;High;Low;Close;Adj Close;Volume
11/09/2002;256071;260714;252679;255179;216310;202412000
12/09/2002;253571;259107;252143;252500;214039;269830400
13/09/2002;252321;256071;250893;253036;214494;282951200
16/09/2002;252500;260893;252143;258929;219489;286641600
17/09/2002;260179;268393;260179;264286;224030;427996800
18/09/2002;262321;269464;259286;268214;227359;328641600
19/09/2002;263393;264286;258571;260357;220699;205945600
20/09/2002;261071;266786;259286;265536;225089;352788800
23/09/2002;263571;267143;258036;265179;224787;263709600
24/09/2002;257143;264643;257143;261429;221608;250661600
25/09/2002;262321;270893;261607;266607;225997;254682400
26/09/2002;269643;271250;259821;262500;222516;208644800
27/09/2002;258750;265179;258571;262857;222819;206152800
30/09/2002;257143;260179;252500;258929;219489;237697600
01/10/2002;260536;260714;250000;259107;219640;342423200
02/10/2002;255893;261250;251786;253036;214494;229348000
03/10/2002;253214;260714;251071;255357;216461;217896000
04/10/2002;256429;257143;249821;250536;212374;190825600
07/10/2002;249464;253750;245714;245893;208439;244697600
08/10/2002;248214;249286;238571;244286;207076;453644800
09/10/2002;241786;247321;239464;242679;205714;356686400
10/10/2002;243393;253929;242500;251964;213585;321574400
11/10/2002;254464;263929;251786;259107;219640;294677600
14/10/2002;259821;267500;257857;263750;223576;194404000
15/10/2002;271786;272321;263929;270714;229479;405518400
16/10/2002;265357;270179;248214;260000;220397;307624800
17/10/2002;253750;256786;249643;251964;213585;469296800
18/10/2002;250000;256250;248750;256071;217066;288299200
21/10/2002;254643;261250;250000;260000;220397;238520800
22/10/2002;258393;265714;254643;262500;222516;218148000
23/10/2002;261250;267500;258929;265714;225240;209036800
24/10/2002;268214;271607;259821;262321;222364;174748000
25/10/2002;262321;275893;260536;275357;233415;279070400
28/10/2002;277679;284821;272321;278750;236291;349300000
29/10/2002;278036;283571;267143;275714;233717;259179200
30/10/2002;276607;292321;276429;285357;241891;270676000
31/10/2002;285536;293571;284286;286964;243254;295836800
01/11/2002;284643;294643;283750;292143;247644;189828800
04/11/2002;294643;310357;291964;301607;255666;376818400
05/11/2002;299107;302857;291964;301786;255818;210694400
06/11/2002;305000;309286;298214;307500;260662;216389600
07/11/2002;302500;305357;282321;285714;242194;336179200
08/11/2002;285893;289286;277143;282857;239772;190064000
11/11/2002;281071;283750;270000;270714;229479;152975200
12/11/2002;273571;286429;272857;279286;236745;223792800
13/11/2002;276786;286964;272857;278393;235988;231739200
14/11/2002;283929;293036;281786;291071;246735;141713600
15/11/2002;289821;290000;281429;284821;241437;160994400
18/11/2002;289107;289286;277143;279464;236896;164578400
19/11/2002;277679;281250;268036;272679;231144;210952000
20/11/2002;273214;280357;272321;277321;235079;208740000
21/11/2002;283929;293571;281250;291964;247492;418482400
22/11/2002;287321;291071;283929;285893;242346;227858400
25/11/2002;286250;288214;280536;285179;241740;199427200
26/11/2002;283036;283929;272679;275179;233264;240262400
27/11/2002;278571;283214;275893;280714;237956;286798400
29/11/2002;281964;283571;275179;276786;234626;143432800
02/12/2002;283929;287500;268036;271071;229781;398742400
03/12/2002;271429;273929;269643;270714;229479;227869600
04/12/2002;271071;271250;258929;267321;226603;325757600
05/12/2002;268393;269286;259464;261250;221456;243398400
06/12/2002;261607;271250;259286;266964;226300;245358400
09/12/2002;266786;266964;261964;263393;223273;236084800
10/12/2002;263393;275893;263036;272857;231295;308610400
11/12/2002;273214;276607;269286;276607;234474;253500800
12/12/2002;276964;277679;268036;271250;229933;149340800
13/12/2002;270357;270536;261607;264107;223878;164780000
16/12/2002;264464;269643;260893;265179;224787;251624800
17/12/2002;265179;271250;261786;269286;228268;222661600
18/12/2002;264286;265357;258929;260179;220548;150701600
19/12/2002;259464;266429;251786;253571;214947;347519200
20/12/2002;255179;260000;246071;252500;214039;318096800
23/12/2002;252857;259821;252143;258750;219337;125826400
24/12/2002;257857;258393;255357;256429;217370;39340000
26/12/2002;257500;264464;255000;257143;217975;85422400
27/12/2002;255536;256786;250179;251071;212828;80035200
30/12/2002;251429;252679;247143;251250;212980;155041600
31/12/2002;250000;256429;249107;255893;216915;200726400
02/01/2003;256429;266429;256250;264286;224030;181428800
03/01/2003;264286;266607;260536;266071;225543;147453600
06/01/2003;268393;274643;265714;266071;225543;390532800
07/01/2003;264107;267857;258393;265179;224787;342344800
08/01/2003;260357;262679;257857;259821;220245;229644800
09/01/2003;261071;266429;258929;262143;222213;215252800
10/01/2003;260357;264643;258750;262857;222819;175100800
13/01/2003;266071;266071;256429;261250;221456;178942400
14/01/2003;262321;264643;258750;260893;221154;186860800
15/01/2003;260536;262500;254643;257679;218429;371128800
16/01/2003;253750;263571;253750;261071;221305;559070400
17/01/2003;260000;260000;251429;251786;213434;266761600
21/01/2003;253750;257321;250000;250357;212223;253456000
22/01/2003;249643;252679;246429;247857;210103;215140800
23/01/2003;250893;256429;249107;253036;214494;228256000
24/01/2003;254286;254286;242143;246429;208893;305468800
27/01/2003;244286;258929;243750;252321;213887;391406400
28/01/2003;254286;262321;252857;260357;220699;286255200
29/01/2003;259821;269643;255357;266607;225997;373044000
30/01/2003;267500;269107;255179;255714;216764;407058400
